,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
1814,2012,Primary,State Representative,Democratic,30,Democratic,jenise may,1780.0,1,0.0,20125023077.0
1985,2014,General,State Representative,0,30,Democratic,jenise may,9376.0,2,1.0,20125023077.0
2087,2014,Primary,State Representative,Democratic,30,Democratic,jenise may,1904.0,1,1.0,20125023077.0
4360,2016,General,State Senate,0,25,Democratic,jenise may,27678.0,2,1.0,20155029536.0
4387,2016,Primary,State Senate,Democratic,25,Democratic,jenise may,4738.0,1,1.0,20155029536.0
2752,2020,General,State Representative,0,7,Democratic,jennifer bacon,38938.0,1,0.0,20195037863.0
2896,2020,Primary,State Representative,Democratic,7,Democratic,jennifer bacon,18805.0,1,0.0,20195037863.0
3032,2022,Primary,State Representative,Democratic,7,Democratic,jennifer bacon,6377.0,1,1.0,20195037863
1483,2010,Primary,State Representative,Democratic,4,Democratic,jennifer coken,1782.0,3,0.0,20095604823.0
1658,2012,General,State Representative,0,18,Republican,jennifer george,15021.0,2,0.0,20125023089.0
1866,2012,Primary,State Representative,Republican,18,Republican,jennifer george,4793.0,1,0.0,20125023089.0
3977,2006,Primary,State Senate,Democratic,32,Democratic,jennifer mello,3073.0,2,0.0,20065610265.0
3940,2006,General,State Senate,0,15,Democratic,jennifer miller,23056.0,2,0.0,20065636145.0
3967,2006,Primary,State Senate,Democratic,15,Democratic,jennifer miller,4293.0,1,0.0,20065636145.0
2837,2020,General,State Representative,0,43,Democratic,jennifer mitkowski,23859.0,2,0.0,20195036523.0
2935,2020,Primary,State Representative,Democratic,43,Democratic,jennifer mitkowski,11855.0,1,0.0,20195036523.0
3045,2022,Primary,State Representative,Democratic,19,Democratic,jennifer parenti,7566.0,1,0.0,20215041823
166,2000,Primary,State Representative,Democratic,3,Democratic,jennifer veiga,952.0,1,0.0,19960903001
294,2002,General,State Representative,0,3,Democratic,jennifer veiga,12660.0,1,0.0,19990903001.0
441,2002,Primary,State Representative,Democratic,3,Democratic,jennifer veiga,2686.0,1,0.0,19990903001.0
3885,2004,General,State Senate,0,31,Democratic,jennifer veiga,34856.0,1,1.0,19990903001.0
3904,2004,Primary,State Senate,Democratic,31,Democratic,jennifer veiga,7724.0,1,1.0,19990903001.0
4033,2008,General,State Senate,0,31,Democratic,jennifer veiga,36427.0,1,1.0,19990903001.0
4055,2008,Primary,State Senate,Democratic,31,Democratic,jennifer veiga,5589.0,1,1.0,19990903001.0
3060,2022,Primary,State Representative,Democratic,34,Democratic,jenny willford,4679.0,1,0.0,20225042018
158,2000,General,State Representative,0,64,Democratic,jerri hill,20734.0,2,0.0,19980964008
220,2000,Primary,State Representative,Democratic,64,Democratic,jerri hill,379.0,1,0.0,19980964008
3818,2002,General,State Senate,0,30,Democratic,jerri hill,13076.0,2,0.0,20025800174.0
3835,2002,Primary,State Senate,Democratic,30,Democratic,jerri hill,1408.0,1,0.0,20025800174.0
4538,2020,General,State Senate,0,33,Unity Party of Colorado,jerry burton,7482.0,2,0.0,
4071,2008,Primary,State Senate,Republican,26,Republican,jerry call,3243.0,2,0.0,20085602669.0
1732,2012,General,State Representative,0,46,Republican,jerry denney,15069.0,2,0.0,20125024766.0
1897,2012,Primary,State Representative,Republican,46,Republican,jerry denney,3308.0,1,0.0,20125024766.0
437,2002,General,State Representative,0,65,Libertarian,jerry from,472.0,3,0.0,
1025,2006,Primary,State Representative,Republican,9,Republican,jerry greenheck,2197.0,1,0.0,
952,2006,General,State Representative,0,65,Republican,jerry sonnenberg,19245.0,1,0.0,20055616316.0
1081,2006,Primary,State Representative,Republican,65,Republican,jerry sonnenberg,5085.0,1,0.0,20055616316.0
1209,2008,General,State Representative,0,65,Republican,jerry sonnenberg,25685.0,1,1.0,20055616316.0
1348,2008,Primary,State Representative,Republican,65,Republican,jerry sonnenberg,4697.0,1,1.0,20055616316.0
1477,2010,General,State Representative,0,65,Republican,jerry sonnenberg,21951.0,1,1.0,20055616316.0
1607,2010,Primary,State Representative,Republican,65,Republican,jerry sonnenberg,7872.0,1,1.0,20055616316.0
1779,2012,General,State Representative,0,65,Republican,jerry sonnenberg,26545.0,1,1.0,20055616316.0
1920,2012,Primary,State Representative,Republican,65,Republican,jerry sonnenberg,7252.0,1,1.0,20055616316.0
4267,2014,General,State Senate,0,1,Republican,jerry sonnenberg,45689.0,1,1.0,20135025568.0
4320,2014,Primary,State Senate,Republican,1,Republican,jerry sonnenberg,17965.0,1,1.0,20135025568.0
4420,2018,General,State Senate,0,1,Republican,jerry sonnenberg,52311.0,1,1.0,20135025568.0
4482,2018,Primary,State Senate,Republican,1,Republican,jerry sonnenberg,23879.0,1,1.0,20135025568.0
3643,1998,General,State Senate,0,20,Republican,jerry tullio,16014.0,2,0.0,
3683,1998,Primary,State Senate,Republican,20,Republican,jerry tullio,4606.0,1,0.0,
508,2002,Primary,State Representative,Republican,9,Republican,jerry wheeler,887.0,2,0.0,20025800139.0
586,2004,General,State Representative,0,9,Republican,jerry wheeler,10436.0,2,0.0,20025800139
773,2004,Primary,State Representative,Republican,9,Republican,jerry wheeler,3247.0,1,0.0,20025800139
4400,2016,Primary,State Senate,Republican,4,Republican,jess loban,3368.0,3,0.0,20155028958.0
3741,2000,General,State Senate,0,33,Libertarian,jesse wilkins,4413.0,2,0.0,
3870,2004,General,State Senate,0,19,Republican,jessica corry,26905.0,2,0.0,20045627299.0
3914,2004,Primary,State Senate,Republican,19,Republican,jessica corry,7897.0,1,0.0,20045627299.0
2249,2016,General,State Representative,0,31,Republican,jessica sandgren,14861.0,2,0.0,20155029028.0
2415,2016,Primary,State Representative,Republican,31,Republican,jessica sandgren,2153.0,1,0.0,20155029028.0
3801,2002,General,State Senate,0,9,Libertarian,jessica wheeler,6657.0,2,0.0,
601,2004,General,State Representative,0,17,Libertarian,jessica wheeler,766.0,3,0.0,20045645192
1969,2014,General,State Representative,0,24,Democratic,jessie danielson,17501.0,1,0.0,20145026664.0
2080,2014,Primary,State Representative,Democratic,24,Democratic,jessie danielson,2797.0,1,0.0,20145026664.0
2232,2016,General,State Representative,0,24,Democratic,jessie danielson,24103.0,1,1.0,20145026664.0
2345,2016,Primary,State Representative,Democratic,24,Democratic,jessie danielson,4336.0,1,1.0,20145026664.0
4443,2018,General,State Senate,0,20,Democratic,jessie danielson,49974.0,1,1.0,20175032105.0
4472,2018,Primary,State Senate,Democratic,20,Democratic,jessie danielson,19778.0,1,1.0,20175032105.0
4589,2022,Primary,State Senate,Democratic,22,Democratic,jessie danielson,16502.0,1,1.0,20225043179
4188,2012,General,State Senate,0,21,Democratic,jessie ulibarri,30308.0,1,0.0,20115023027.0
4225,2012,Primary,State Senate,Democratic,21,Democratic,jessie ulibarri,4893.0,1,0.0,20115023027.0
3168,2022,Primary,State Representative,Republican,63,Republican,jessie vance,4755.0,2,0.0,20215041605
2688,2018,Primary,State Representative,Republican,18,Republican,jillian likness,5938.0,1,0.0,20175032421.0
3566,1996,General,State Senate,0,19,Republican,jim congrove,21680.0,1,0.0,19960819001
3610,1996,Primary,State Senate,Republican,19,Republican,jim congrove,5457.0,1,0.0,19960819001
3717,2000,General,State Senate,0,19,Republican,jim congrove,22585.0,2,1.0,19990819001.0
3773,2000,Primary,State Senate,Republican,19,Republican,jim congrove,3925.0,1,1.0,19990819001.0
3630,1998,General,State Senate,0,6,Democratic,jim dyer,20370.0,1,0.0,19990806002
3657,1998,Primary,State Senate,Democratic,6,Democratic,jim dyer,2536.0,1,0.0,19990806002
3727,2000,General,State Senate,0,26,Republican,jim dyer,29417.0,1,1.0,19990806002.0
3778,2000,Primary,State Senate,Republican,26,Republican,jim dyer,3833.0,1,1.0,19990806002.0
3878,2004,General,State Senate,0,26,Republican,jim dyer,28994.0,1,1.0,19990826002
3918,2004,Primary,State Senate,Republican,26,Republican,jim dyer,9765.0,1,1.0,19990826002
320,2002,General,State Representative,0,12,Republican,jim egerton,7952.0,2,0.0,20025800118
510,2002,Primary,State Representative,Republican,12,Republican,jim egerton,1422.0,1,0.0,20025800118
590,2004,General,State Representative,0,12,Republican,jim egerton,10253.0,2,0.0,20025800118
774,2004,Primary,State Representative,Republican,12,Republican,jim egerton,2014.0,1,0.0,20025800118
876,2006,General,State Representative,0,28,Republican,jim kerr,14833.0,1,0.0,20055601421
1043,2006,Primary,State Representative,Republican,28,Republican,jim kerr,4295.0,1,0.0,20055601421
1139,2008,General,State Representative,0,28,Republican,jim kerr,21789.0,1,1.0,20055601421
1312,2008,Primary,State Representative,Republican,28,Republican,jim kerr,5555.0,1,1.0,20055601421
1402,2010,General,State Representative,0,28,Republican,jim kerr,18411.0,1,1.0,20055601421
1567,2010,Primary,State Representative,Republican,28,Republican,jim kerr,6352.0,1,1.0,20055601421
3854,2004,General,State Senate,0,4,Democratic,jim miller,23733.0,2,0.0,20045641180
3890,2004,Primary,State Senate,Democratic,4,Democratic,jim miller,3662.0,1,0.0,20045641180
641,2004,General,State Representative,0,36,Republican,jim parker,10676.0,2,0.0,20025800148
796,2004,Primary,State Representative,Republican,36,Republican,jim parker,2437.0,1,0.0,20025800148
4624,1998,General,State Treasurer,0,Colorado,Democratic,jim polsfut,559990.0,2,0.0,19990400008
4629,1998,Primary,State Treasurer,Democratic,Colorado,Democratic,jim polsfut,109626.0,1,0.0,19990400008
967,2006,Primary,State Representative,Democratic,13,Democratic,jim rettew,1661.0,2,0.0,20055617149.0
919,2006,General,State Representative,0,50,Democratic,jim riesberg,8947.0,1,0.0,20045625740.0
1005,2006,Primary,State Representative,Democratic,50,Democratic,jim riesberg,1021.0,1,0.0,20045625740.0
1182,2008,General,State Representative,0,50,Democratic,jim riesberg,14139.0,1,1.0,20045625740.0
1270,2008,Primary,State Representative,Democratic,50,Democratic,jim riesberg,1486.0,1,1.0,20045625740.0
1446,2010,General,State Representative,0,50,Democratic,jim riesberg,7859.0,1,1.0,20045625740.0
1527,2010,Primary,State Representative,Democratic,50,Democratic,jim riesberg,2206.0,1,1.0,20045625740.0
2655,2018,Primary,State Representative,Democratic,50,Democratic,jim riesberg,1749.0,2,1.0,20175032170.0
3362,1990,General,State Senate,0,2,Democratic,jim rizzuto,19184.0,1,0.0,19970802001
3389,1990,Primary,State Senate,Democratic,2,Democratic,jim rizzuto,5814.0,1,0.0,19970802001
3375,1990,General,State Senate,0,15,Republican,jim roberts,14600.0,1,0.0,19970815002
3410,1990,Primary,State Senate,Republican,15,Republican,jim roberts,3827.0,1,0.0,19970815002
3502,1994,General,State Senate,0,15,Republican,jim roberts,18071.0,2,1.0,19970815002
3542,1994,Primary,State Senate,Republican,15,Republican,jim roberts,5098.0,1,1.0,19970815002
4341,2016,General,State Senate,0,4,Republican,jim smallwood,62981.0,1,0.0,20165030199.0
4401,2016,Primary,State Senate,Republican,4,Republican,jim smallwood,5878.0,1,0.0,20165030199.0
4502,2020,General,State Senate,0,4,Republican,jim smallwood,73832.0,1,1.0,20165030199.0
4562,2020,Primary,State Senate,Republican,4,Republican,jim smallwood,26061.0,1,1.0,20165030199.0
149,2000,General,State Representative,0,60,Republican,jim snook,9740.0,1,0.0,20000960002
284,2000,Primary,State Representative,Republican,60,Republican,jim snook,1096.0,1,0.0,20000960002
430,2002,General,State Representative,0,62,Republican,jim snook,8331.0,2,1.0,20000960002
563,2002,Primary,State Representative,Republican,62,Republican,jim snook,2581.0,1,1.0,20000960002
1033,2006,Primary,State Representative,Republican,19,Republican,jimmie brewer,1638.0,2,0.0,
1118,2008,General,State Representative,0,19,Democratic,jimmy phillips,9239.0,2,0.0,20085616869.0
1235,2008,Primary,State Representative,Democratic,19,Democratic,jimmy phillips,1219.0,1,0.0,20085616869.0
2037,2014,General,State Representative,0,54,Unaffiliated,jj fletcher,3285.0,3,0.0,20135025678
1721,2012,General,State Representative,0,41,Unaffiliated,jm fay,1855.0,3,0.0,20125023736.0
1756,2012,General,State Representative,0,57,Democratic,jo baxter,12434.0,2,0.0,20125024741.0
1839,2012,Primary,State Representative,Democratic,57,Democratic,jo baxter,1581.0,1,0.0,20125024741.0
3702,2000,General,State Senate,0,13,Democratic,joan fitzgerald,36425.0,1,0.0,19990813005.0
3748,2000,Primary,State Senate,Democratic,13,Democratic,joan fitzgerald,2330.0,1,0.0,19990813005.0
3810,2002,General,State Senate,0,16,Democratic,joan fitzgerald,26585.0,1,1.0,19990813005.0
3831,2002,Primary,State Senate,Democratic,16,Democratic,joan fitzgerald,2688.0,1,1.0,19990813005.0
3943,2006,General,State Senate,0,16,Democratic,joan fitzgerald,34433.0,1,1.0,19990813005.0
3968,2006,Primary,State Senate,Democratic,16,Democratic,joan fitzgerald,4132.0,1,1.0,19990813005.0
3381,1990,General,State Senate,0,24,Democratic,joan johnson,16425.0,1,0.0,19940824001
3399,1990,Primary,State Senate,Democratic,24,Democratic,joan johnson,3546.0,1,0.0,19940824001
3508,1994,General,State Senate,0,24,Democratic,joan johnson,16269.0,1,1.0,19940824001
3527,1994,Primary,State Senate,Democratic,24,Democratic,joan johnson,983.0,1,1.0,19940824001
2500,2018,General,State Representative,0,23,Republican,joan poston,15011.0,2,0.0,20185033752.0
2695,2018,Primary,State Representative,Republican,23,Republican,joan poston,5509.0,1,0.0,20185033752.0
2563,2018,General,State Representative,0,51,Democratic,joan shaffer,19320.0,2,0.0,20185034147.0
2657,2018,Primary,State Representative,Democratic,51,Democratic,joan shaffer,7734.0,1,0.0,20185034147.0
1744,2012,General,State Representative,0,52,Democratic,joann ginal,24841.0,1,0.0,20115022911.0
1835,2012,Primary,State Representative,Democratic,52,Democratic,joann ginal,2953.0,1,0.0,20115022911.0
2030,2014,General,State Representative,0,52,Democratic,joann ginal,19403.0,1,1.0,20115022911.0
2107,2014,Primary,State Representative,Democratic,52,Democratic,joann ginal,3498.0,1,1.0,20115022911.0
2293,2016,General,State Representative,0,52,Democratic,joann ginal,25876.0,1,1.0,20115022911.0
2375,2016,Primary,State Representative,Democratic,52,Democratic,joann ginal,4341.0,1,1.0,20115022911.0
2565,2018,General,State Representative,0,52,Democratic,joann ginal,29708.0,1,1.0,20115022911.0
2658,2018,Primary,State Representative,Democratic,52,Democratic,joann ginal,11684.0,1,1.0,20115022911.0
4511,2020,General,State Senate,0,14,Democratic,joann ginal,63409.0,1,1.0,20195037102.0
4546,2020,Primary,State Senate,Democratic,14,Democratic,joann ginal,29452.0,1,1.0,20195037102.0
1986,2014,General,State Representative,0,30,Republican,joann windholz,9482.0,1,0.0,20145027361.0
2148,2014,Primary,State Representative,Republican,30,Republican,joann windholz,2119.0,1,0.0,20145027361.0
2247,2016,General,State Representative,0,30,Republican,joann windholz,13395.0,2,1.0,20145027361.0
2414,2016,Primary,State Representative,Republican,30,Republican,joann windholz,1891.0,1,1.0,20145027361.0
921,2006,General,State Representative,0,51,Democratic,jodi radke,12547.0,2,0.0,20065620199.0
1007,2006,Primary,State Representative,Democratic,51,Democratic,jodi radke,1370.0,1,0.0,20065620199.0
1702,2012,General,State Representative,0,34,Republican,jodina widhalm,11014.0,2,0.0,20125023373.0
1885,2012,Primary,State Representative,Republican,34,Republican,jodina widhalm,2004.0,1,0.0,20125023373.0
2291,2016,General,State Representative,0,51,Democratic,jody shadduckmcnally,18642.0,2,0.0,20165030467.0
2374,2016,Primary,State Representative,Democratic,51,Democratic,jody shadduckmcnally,3394.0,1,0.0,20165030467.0
940,2006,General,State Representative,0,59,Democratic,joe colgan,13443.0,2,0.0,20055618152.0
1016,2006,Primary,State Representative,Democratic,59,Democratic,joe colgan,1464.0,1,0.0,20055618152.0
3482,1992,Primary,State Senate,Republican,29,Republican,joe daniluk,807.0,2,0.0,
406,2002,General,State Representative,0,51,Unaffiliated,joe jabaily,11567.0,2,0.0,20025990275.0
2314,2016,General,State Representative,0,63,Libertarian,joe johnson,3678.0,3,0.0,
2589,2018,General,State Representative,0,63,Libertarian,joe johnson,2060.0,3,0.0,
2883,2020,General,State Representative,0,63,Libertarian,joe johnson,2711.0,3,0.0,
1098,2008,General,State Representative,0,9,Democratic,joe miklosi,19722.0,1,0.0,20075616772.0
1224,2008,Primary,State Representative,Democratic,9,Democratic,joe miklosi,2782.0,1,0.0,20075616772.0
1366,2010,General,State Representative,0,9,Democratic,joe miklosi,14205.0,1,1.0,20075616772.0
1491,2010,Primary,State Representative,Democratic,9,Democratic,joe miklosi,5670.0,1,1.0,20075616772.0
3344,2014,General,Secretary of State,0,Colorado,Democratic,joe neguse,886043.0,2,0.0,20075623188.0
3348,2014,Primary,Secretary of State,Democratic,Colorado,Democratic,joe neguse,195951.0,1,0.0,20075623188.0
160,2000,General,State Representative,0,64,Republican,joe nunez,45807.0,1,0.0,19990964005.0
288,2000,Primary,State Representative,Republican,64,Republican,joe nunez,1494.0,1,0.0,19990964005.0
4282,2014,General,State Senate,0,13,Democratic,joe perez,14879.0,2,0.0,20135025573.0
4311,2014,Primary,State Senate,Democratic,13,Democratic,joe perez,3549.0,1,0.0,20135025573.0
894,2006,General,State Representative,0,38,Democratic,joe rice,14517.0,1,0.0,20055619774.0
992,2006,Primary,State Representative,Democratic,38,Democratic,joe rice,2460.0,1,0.0,20055619774.0
1159,2008,General,State Representative,0,38,Democratic,joe rice,20357.0,1,1.0,20055619774.0
1257,2008,Primary,State Representative,Democratic,38,Democratic,joe rice,3447.0,1,1.0,20055619774.0
1421,2010,General,State Representative,0,38,Democratic,joe rice,14809.0,2,1.0,20055619774.0
1518,2010,Primary,State Representative,Democratic,38,Democratic,joe rice,4983.0,1,1.0,20055619774.0
2748,2020,General,State Representative,0,5,Unity Party of Colorado,joe richardson,633.0,3,0.0,
2248,2016,General,State Representative,0,31,Democratic,joe salazar,18452.0,1,0.0,20115022855.0
2352,2016,Primary,State Representative,Democratic,31,Democratic,joe salazar,3015.0,1,0.0,20115022855.0
3212,2018,Primary,Attorney General,Democratic,Colorado,Democratic,joe salazar,296551.0,2,1.0,20175031960.0
92,2000,General,State Representative,0,38,Republican,joe stengel,18477.0,1,0.0,19990938004.0
258,2000,Primary,State Representative,Republican,38,Republican,joe stengel,2947.0,1,0.0,19990938004.0
382,2002,General,State Representative,0,38,Republican,joe stengel,14962.0,1,1.0,19990938004.0
537,2002,Primary,State Representative,Republican,38,Republican,joe stengel,3835.0,1,1.0,19990938004.0
647,2004,General,State Representative,0,38,Republican,joe stengel,19743.0,1,1.0,19990938004.0
798,2004,Primary,State Representative,Republican,38,Republican,joe stengel,5918.0,1,1.0,19990938004.0
2781,2020,General,State Representative,0,19,Democratic,joe thompson,16198.0,2,0.0,20205038529.0
2908,2020,Primary,State Representative,Democratic,19,Democratic,joe thompson,7829.0,1,0.0,20205038529.0
3106,2022,Primary,State Representative,Republican,14,Republican,joe woyte,7713.0,2,0.0,20225042781
301,2002,General,State Representative,0,5,Democratic,joel judd,8826.0,1,0.0,20015990228.0
444,2002,Primary,State Representative,Democratic,5,Democratic,joel judd,1547.0,1,0.0,20015990228.0
577,2004,General,State Representative,0,5,Democratic,joel judd,16310.0,1,1.0,20015990228.0
711,2004,Primary,State Representative,Democratic,5,Democratic,joel judd,3605.0,1,1.0,20015990228.0
834,2006,General,State Representative,0,5,Democratic,joel judd,12144.0,1,1.0,20015990228.0
958,2006,Primary,State Representative,Democratic,5,Democratic,joel judd,1533.0,1,1.0,20015990228.0
1091,2008,General,State Representative,0,5,Democratic,joel judd,21493.0,1,1.0,20015990228.0
1216,2008,Primary,State Representative,Democratic,5,Democratic,joel judd,2187.0,1,1.0,20015990228.0
4140,2010,Primary,State Senate,Democratic,34,Democratic,joel judd,3936.0,2,1.0,20095600143.0
2602,2018,Primary,State Representative,Democratic,5,Democratic,joel judd,1844.0,3,1.0,20185033499.0
3323,2000,General,Secretary of State,0,Colorado,Libertarian,johanna fallis,43486.0,3,0.0,
951,2006,General,State Representative,0,64,Republican,john albright,9233.0,2,0.0,20055622930.0
1080,2006,Primary,State Representative,Republican,64,Republican,john albright,2076.0,1,0.0,20055622930.0
3220,1990,General,Governor,0,Colorado,Republican,john andrews,358403.0,2,0.0,
3222,1990,Primary,Governor,Republican,Colorado,Republican,john andrews,156418.0,1,0.0,
3730,2000,General,State Senate,0,27,Republican,john andrews,27527.0,1,0.0,19980827001.0
3780,2000,Primary,State Senate,Republican,27,Republican,john andrews,4823.0,1,0.0,19980827001.0
324,2002,General,State Representative,0,14,Libertarian,john berntson,3139.0,2,0.0,
1137,2008,General,State Representative,0,27,Republican,john bodnar,16081.0,2,0.0,20085607572.0
1311,2008,Primary,State Representative,Republican,27,Republican,john bodnar,4148.0,1,0.0,20085607572.0
1717,2012,General,State Representative,0,40,Democratic,john buckner,20163.0,1,0.0,20125024003.0
1824,2012,Primary,State Representative,Democratic,40,Democratic,john buckner,2130.0,1,0.0,20125024003.0
2006,2014,General,State Representative,0,40,Democratic,john buckner,13815.0,1,1.0,20125024003.0
2097,2014,Primary,State Representative,Democratic,40,Democratic,john buckner,2534.0,1,1.0,20125024003.0
3150,2022,Primary,State Representative,Republican,49,Republican,john caldwell,4125.0,2,0.0,20225041885
129,2000,General,State Representative,0,52,Republican,john clarke,11641.0,2,0.0,20000952003
275,2000,Primary,State Representative,Republican,52,Republican,john clarke,1237.0,1,0.0,20000952003
4283,2014,General,State Senate,0,13,Republican,john cooke,26063.0,1,0.0,20135025559.0
4328,2014,Primary,State Senate,Republican,13,Republican,john cooke,9713.0,1,0.0,20135025559.0
4437,2018,General,State Senate,0,13,Republican,john cooke,33026.0,1,1.0,20135025559.0
4491,2018,Primary,State Senate,Republican,13,Republican,john cooke,10763.0,1,1.0,20135025559.0
3449,1992,General,State Senate,0,33,Republican,john dates,6856.0,2,0.0,
3483,1992,Primary,State Senate,Republican,33,Republican,john dates,714.0,1,0.0,
3649,1998,General,State Senate,0,30,Republican,john evans,44728.0,1,0.0,19970830004
3688,1998,Primary,State Senate,Republican,30,Republican,john evans,3783.0,1,0.0,19970830004
3819,2002,General,State Senate,0,30,Republican,john evans,31925.0,1,1.0,20015990145.0
3853,2002,Primary,State Senate,Republican,30,Republican,john evans,5369.0,1,1.0,20015990145.0
2766,2020,General,State Representative,0,14,Democratic,john foley,19688.0,2,0.0,20205038543.0
2903,2020,Primary,State Representative,Democratic,14,Democratic,john foley,8855.0,1,0.0,20205038543.0
3691,2000,General,State Senate,0,4,Democratic,john ford,19029.0,2,0.0,20005990071.0
3261,2010,General,Governor,0,Colorado,Democratic,john garcia,915436.0,1,0.0,
3274,2014,General,Governor,0,Colorado,Democratic,john garcia,1006433.0,1,1.0,
1735,2012,General,State Representative,0,48,Libertarian,john gibson,8866.0,2,0.0,
2,2000,General,State Representative,0,1,Republican,john gonce,7370.0,2,0.0,
221,2000,Primary,State Representative,Republican,1,Republican,john gonce,709.0,1,0.0,
3269,2010,Primary,Governor,Democratic,Colorado,Democratic,john hickenlooper,303245.0,1,0.0,20105016956.0
3281,2014,Primary,Governor,Democratic,Colorado,Democratic,john hickenlooper,214403.0,1,0.0,20105016956.0
2213,2016,General,State Representative,0,16,Libertarian,john hjersman,10262.0,2,0.0,
2484,2018,General,State Representative,0,16,Libertarian,john hjersman,1360.0,3,0.0,
2773,2020,General,State Representative,0,16,Libertarian,john hjersman,1813.0,3,0.0,
2290,2016,General,State Representative,0,50,Republican,john honeycutt,10479.0,2,0.0,20165031182.0
2435,2016,Primary,State Representative,Republican,50,Republican,john honeycutt,2414.0,1,0.0,20165031182.0
676,2004,General,State Representative,0,52,Democratic,john kefalas,17522.0,2,0.0,20045627652.0
754,2004,Primary,State Representative,Democratic,52,Democratic,john kefalas,2327.0,1,0.0,20045627652.0
923,2006,General,State Representative,0,52,Democratic,john kefalas,15609.0,1,0.0,20045627652.0
1008,2006,Primary,State Representative,Democratic,52,Democratic,john kefalas,2352.0,1,0.0,20045627652.0
1186,2008,General,State Representative,0,52,Democratic,john kefalas,24812.0,1,1.0,20045627652.0
1272,2008,Primary,State Representative,Democratic,52,Democratic,john kefalas,2792.0,1,1.0,20045627652.0
1450,2010,General,State Representative,0,52,Democratic,john kefalas,18433.0,1,1.0,20045627652.0
1529,2010,Primary,State Representative,Democratic,52,Democratic,john kefalas,5403.0,1,1.0,20045627652.0
4176,2012,General,State Senate,0,14,Democratic,john kefalas,46673.0,1,1.0,20115022165.0
4221,2012,Primary,State Senate,Democratic,14,Democratic,john kefalas,5403.0,1,1.0,20115022165.0
4348,2016,General,State Senate,0,14,Democratic,john kefalas,52902.0,1,1.0,20115022165.0
4381,2016,Primary,State Senate,Democratic,14,Democratic,john kefalas,7158.0,1,1.0,20115022165.0
3216,2022,Primary,Attorney General,Republican,Colorado,Republican,john kellner,504631.0,1,0.0,20225042035
1610,2012,General,State Representative,0,1,Republican,john kidd,9350.0,2,0.0,20125023506.0
1847,2012,Primary,State Representative,Republican,1,Republican,john kidd,1645.0,1,0.0,20125023506.0
4203,2012,General,State Senate,0,28,Republican,john lyons,24475.0,2,0.0,20125023248.0
4257,2012,Primary,State Senate,Republican,28,Republican,john lyons,3288.0,1,0.0,20125023248.0
445,2002,Primary,State Representative,Democratic,5,Democratic,john maslanik,310.0,3,0.0,20011000226.0
3368,1990,General,State Senate,0,7,Democratic,john moore,13357.0,2,0.0,19940807002
3393,1990,Primary,State Senate,Democratic,7,Democratic,john moore,3466.0,1,0.0,19940807002
3493,1994,General,State Senate,0,7,Democratic,john moore,10016.0,2,0.0,19940807002
3521,1994,Primary,State Senate,Democratic,7,Democratic,john moore,1672.0,1,0.0,19940807002
3936,2006,General,State Senate,0,11,Democratic,john morse,16420.0,1,0.0,20065613888.0
3965,2006,Primary,State Senate,Democratic,11,Democratic,john morse,1788.0,1,0.0,20065613888.0
4092,2010,General,State Senate,0,11,Democratic,john morse,13866.0,1,1.0,20065613888.0
4127,2010,Primary,State Senate,Democratic,11,Democratic,john morse,4011.0,1,1.0,20065613888.0
4102,2010,General,State Senate,0,20,Republican,john odom,21412.0,2,0.0,20095616828.0
4156,2010,Primary,State Senate,Republican,20,Republican,john odom,7731.0,1,0.0,20095616828.0
377,2002,General,State Representative,0,37,Democratic,john phillips,9640.0,2,0.0,20025800087
478,2002,Primary,State Representative,Democratic,37,Democratic,john phillips,1624.0,1,0.0,20025800087
4424,2018,General,State Senate,0,3,Libertarian,john pickerill,14253.0,2,0.0,20185034108.0
2846,2020,General,State Representative,0,46,Libertarian,john pickerill,1673.0,3,0.0,20185034108.0
314,2002,General,State Representative,0,11,Democratic,john pommer,12940.0,1,0.0,20025990263
452,2002,Primary,State Representative,Democratic,11,Democratic,john pommer,1645.0,1,0.0,20025990263
2769,2020,General,State Representative,0,15,Democratic,john pyne,17535.0,2,0.0,20205038266.0
2904,2020,Primary,State Representative,Democratic,15,Democratic,john pyne,7551.0,1,0.0,20205038266.0
492,2002,Primary,State Representative,Democratic,55,Democratic,john redifer,1199.0,1,0.0,
3489,1994,General,State Senate,0,5,Democratic,john ribal,15830.0,2,0.0,19940805002
3519,1994,Primary,State Senate,Democratic,5,Democratic,john ribal,5624.0,1,0.0,19940805002
2931,2020,Primary,State Representative,Democratic,40,Democratic,john ronquillo,6793.0,2,0.0,20195036990.0
429,2002,General,State Representative,0,62,Democratic,john salazar,13167.0,1,0.0,20025800074.0
498,2002,Primary,State Representative,Democratic,62,Democratic,john salazar,3946.0,1,0.0,20025800074.0
4196,2012,General,State Senate,0,25,Republican,john sampson,20310.0,2,0.0,20115019641.0
4253,2012,Primary,State Senate,Republican,25,Republican,john sampson,3614.0,1,0.0,20115019641.0
947,2006,General,State Representative,0,62,Republican,john sandoval,9140.0,2,0.0,
1078,2006,Primary,State Representative,Republican,62,Republican,john sandoval,2607.0,1,0.0,
93,2000,General,State Representative,0,39,Democratic,john scipione,10127.0,2,0.0,20000939002
