,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
3341,2010,Primary,Secretary of State,Democratic,Colorado,Democratic,bernie buescher,262659.0,1,1.0,20095601827.0
4265,2013,Recall,State Senate,0,11,Republican,bernie herpin,8932.0,1,0.0,20135025512
4281,2014,General,State Senate,0,11,Republican,bernie herpin,14978.0,2,0.0,20135025512
4327,2014,Primary,State Senate,Republican,11,Republican,bernie herpin,5397.0,1,0.0,20135025512
3404,1990,Primary,State Senate,Republican,5,Republican,berry don,5146.0,1,0.0,
4421,2018,General,State Senate,0,2,Democratic,beth harz,22583.0,2,0.0,20185035115
4461,2018,Primary,State Senate,Democratic,2,Democratic,beth harz,6813.0,1,0.0,20185035115
1694,2012,General,State Representative,0,31,Republican,beth humenik,12301.0,2,0.0,20125024444.0
1882,2012,Primary,State Representative,Republican,31,Republican,beth humenik,2025.0,1,0.0,20125024444.0
4296,2014,General,State Senate,0,24,Republican,beth humenik,26164.0,1,0.0,20145028078.0
4336,2014,Primary,State Senate,Republican,24,Republican,beth humenik,6605.0,1,0.0,20145028078.0
4450,2018,General,State Senate,0,24,Republican,beth humenik,27068.0,2,1.0,20145028078.0
4496,2018,Primary,State Senate,Republican,24,Republican,beth humenik,9401.0,1,1.0,20145028078.0
1097,2008,General,State Representative,0,8,Democratic,beth mccann,24833.0,1,0.0,20075623228.0
1221,2008,Primary,State Representative,Democratic,8,Democratic,beth mccann,3017.0,1,0.0,20075623228.0
1364,2010,General,State Representative,0,8,Democratic,beth mccann,19897.0,1,1.0,20075623228.0
1490,2010,Primary,State Representative,Democratic,8,Democratic,beth mccann,7793.0,1,1.0,20075623228.0
1627,2012,General,State Representative,0,8,Democratic,beth mccann,35135.0,1,1.0,20075623228.0
1796,2012,Primary,State Representative,Democratic,8,Democratic,beth mccann,5452.0,1,1.0,20075623228.0
1938,2014,General,State Representative,0,8,Democratic,beth mccann,29197.0,1,1.0,20075623228.0
2067,2014,Primary,State Representative,Democratic,8,Democratic,beth mccann,6881.0,1,1.0,20075623228.0
2593,2018,General,State Representative,0,65,Democratic,bethleen mccall,7065.0,2,0.0,20185033864.0
2671,2018,Primary,State Representative,Democratic,65,Democratic,bethleen mccall,2812.0,1,0.0,20185033864.0
4648,2014,General,State Treasurer,0,Colorado,Democratic,betsy markey,882437.0,2,0.0,20135025541
4651,2014,Primary,State Treasurer,Democratic,Colorado,Democratic,betsy markey,203537.0,1,0.0,20135025541
4297,2014,General,State Senate,0,30,Democratic,bette davis,21566.0,2,0.0,20145028183.0
4317,2014,Primary,State Senate,Democratic,30,Democratic,bette davis,4159.0,1,0.0,20145028183.0
61,2000,General,State Representative,0,26,Democratic,betty boyd,12915.0,1,0.0,20000926006.0
190,2000,Primary,State Representative,Democratic,26,Democratic,betty boyd,1712.0,1,0.0,20000926006.0
352,2002,General,State Representative,0,26,Democratic,betty boyd,11305.0,1,1.0,20065621885.0
465,2002,Primary,State Representative,Democratic,26,Democratic,betty boyd,2371.0,1,1.0,20065621885.0
620,2004,General,State Representative,0,26,Democratic,betty boyd,16606.0,1,1.0,20000926006.0
729,2004,Primary,State Representative,Democratic,26,Democratic,betty boyd,3796.0,1,1.0,20000926006.0
